iter	Passed	Remaining
847	1173	210
848	1174	208
849	1176	207
850	1177	206
851	1179	204
852	1180	203
853	1182	202
854	1183	200
855	1184	199
856	1185	197
857	1187	196
858	1188	195
859	1189	193
860	1191	192
861	1193	191
862	1195	189
863	1196	188
864	1197	186
865	1198	185
866	1200	184
867	1201	182
868	1202	181
869	1204	179
870	1205	178
871	1207	177
872	1209	175
873	1210	174
874	1211	173
875	1213	171
876	1214	170
877	1216	168
878	1217	167
879	1218	166
880	1221	164
881	1222	163
882	1224	162
883	1225	160
884	1226	159
885	1227	157
886	1229	156
887	1230	155
888	1232	153
889	1233	152
890	1235	151
891	1237	149
892	1238	148
893	1239	147
894	1240	145
895	1242	144
896	1243	142
897	1245	141
898	1246	140
899	1247	138
900	1250	137
901	1252	136
902	1253	134
903	1254	133
904	1256	131
905	1257	130
906	1258	129
907	1260	127
908	1261	126
909	1262	124
910	1265	123
911	1267	122
912	1268	120
913	1269	119
914	1271	118
915	1272	116
916	1274	115
917	1275	113
918	1276	112
919	1278	111
920	1279	109
921	1281	108
922	1282	107
923	1284	105
924	1285	104
925	1286	102
926	1288	101
927	1289	100
928	1290	98
929	1291	97
930	1292	95
931	1294	94
932	1296	93
933	1297	91
934	1298	90
935	1300	88
936	1301	87
937	1302	86
938	1303	84
939	1304	83
940	1306	81
941	1308	80
942	1310	79
943	1311	77
944	1313	76
945	1314	75
946	1315	73
947	1316	72
948	1318	70
949	1319	69
950	1321	68
951	1322	66
952	1324	65
953	1326	63
954	1327	62
955	1329	61
956	1330	59
957	1331	58
958	1332	56
959	1333	55
960	1334	54
961	1336	52
962	1338	51
963	1340	50
964	1341	48
965	1342	47
966	1343	45
967	1344	44
968	1345	43
969	1346	41
970	1347	40
971	1348	38
972	1350	37
973	1351	36
974	1353	34
975	1354	33
976	1355	31
977	1357	30
978	1358	29
979	1360	27
980	1361	26
981	1362	24
982	1363	23
983	1364	22
984	1366	20
985	1367	19
986	1369	18
987	1370	16
988	1371	15
989	1372	13
990	1373	12
991	1374	11
992	1375	9
993	1376	8
994	1377	6
995	1379	5
996	1380	4
997	1382	2
998	1383	1
999	1384	0
